country,country_code,country_code_2_digit,country_code_3_digit,cases_Count,deaths_Count,population,source,reported_date
Estonia,EST,EE,EST,0,0,1324820,"Epidemic intelligence, national daily data",2020-02-20
Andorra,AND,AD,AND,1,0,76177,"Epidemic intelligence, national daily data",2020-06-05
Albania,ALB,AL,ALB,122,6,2862427,"Epidemic intelligence, national daily data",2020-09-03
Albania,ALB,AL,ALB,125,5,2862427,"Epidemic intelligence, national daily data",2020-09-19
Croatia,HRV,HR,HRV,9,1,4076246,"Epidemic intelligence, national daily data",2020-05-12
Denmark,DNK,DK,DNK,558,2,5806081,"Epidemic intelligence, national daily data",2020-09-24
Azerbaijan,AZE,AZ,AZE,6,0,10139175,"Epidemic intelligence, national daily data",2020-03-15
Denmark,DNK,DK,DNK,123,0,5806081,"Epidemic intelligence, national daily data",2020-08-18
Bulgaria,BGR,BG,BGR,104,0,7000039,"Epidemic intelligence, national daily data",2020-06-11
Denmark,DNK,DK,DNK,111,1,5806081,"Epidemic intelligence, national daily data",2020-09-03
Belarus,BLR,BY,BLR,658,5,9449321,"Epidemic intelligence, national daily data",2020-10-17
Bosnia and Herzegovina,BIH,BA,BIH,0,0,3280815,"Epidemic intelligence, national daily data",2020-03-02
Estonia,EST,EE,EST,4,0,1324820,"Epidemic intelligence, national daily data",2020-05-18
Bosnia and Herzegovina,BIH,BA,BIH,0,0,3280815,"Epidemic intelligence, national daily data",2020-01-07
Germany,DEU,DE,DEU,318,18,83019213,"Epidemic intelligence, national daily data",2020-06-10
Netherlands,NLD,NL,NLD,342,0,17282163,"Epidemic intelligence, national daily data",2020-07-31
France,FRA,FR,FRA,3304,16,67012883,"Epidemic intelligence, national daily data",2020-08-26
Latvia,LVA,LV,LVA,6,1,1919968,"Epidemic intelligence, national daily data",2020-04-28
Georgia,GEO,GE,GEO,5,0,3989175,"Epidemic intelligence, national daily data",2020-07-10
Ireland,IRL,IE,IRL,0,0,4904240,"Epidemic intelligence, national daily data",2020-01-08
Italy,ITA,IT,ITA,3153,564,60359546,"Epidemic intelligence, national daily data",2020-04-14
Kosovo,RKS,,,152,9,1798506,"Epidemic intelligence, national daily data",2020-07-07
Monaco,MCO,MC,MCO,2,0,33085,"Epidemic intelligence, national daily data",2020-09-14
Netherlands,NLD,NL,NLD,232,36,17282163,"Epidemic intelligence, national daily data",2020-05-07
Finland,FIN,FI,FIN,19,0,5517919,"Epidemic intelligence, national daily data",2020-09-03
Moldova,MDA,MD,MDA,0,0,4033963,"Epidemic intelligence, national daily data",2020-01-25
Germany,DEU,DE,DEU,0,0,83019213,"Epidemic intelligence, national daily data",2020-01-25
Montenegro,MNE,ME,MNE,188,1,622182,"Epidemic intelligence, national daily data",2020-09-15
Kosovo,RKS,,,0,0,1798506,"Epidemic intelligence, national daily data",2020-01-31
Kosovo,RKS,,,0,0,1798506,"Epidemic intelligence, national daily data",2020-02-23
Georgia,GEO,GE,GEO,0,0,3989175,"Epidemic intelligence, national daily data",2020-09-01
Moldova,MDA,MD,MDA,453,6,4033963,"Epidemic intelligence, national daily data",2020-08-09
Faroes,FRO,,,0,0,48865,"Epidemic intelligence, national daily data",2020-07-02
Moldova,MDA,MD,MDA,143,4,4033963,"Epidemic intelligence, national daily data",2020-05-23
France,FRA,FR,FRA,1039,2,67012883,"Epidemic intelligence, national daily data",2020-08-05
